Titoloo;Disponibilita;indirizzo;Numero_candidature;Lista_candidati;Tipologia;Posizione_Lavorativa;Nome_Azienda;Orario_lavoro;Tipo_contratto;Retribuzione;Nome_sede;Info_Utili;proprietario_email
Addetto/a cucitura abiti sartoriali;True;190;40;[];True;Addetto/a cucitura;EcoManutenzioni;07:00-18:30;APPRENDISTATO;2570.18;Divisione Tecnica Bologna;Esperienza nella cucitura di abiti sartoriali. Precisione e attenzione ai dettagli richieste. Livello di istruzione richiesto: diploma.;volontario2@example.com
Tecnico manutenzione macchinari industriali;True;191;92;[];True;Tecnico manutenzione;TecnoMetal;09:00-17:30;COLLABORAZIONE;5058.86;Sede Operativa Sud;Conoscenza di macchinari industriali e capacità di risoluzione problemi tecnici. Livello di istruzione richiesto: diploma tecnico.;volontario1@example.com
Addetto/a lavorazione legno - Formazione inclusa;True;192;18;[];True;Addetto/a lavorazione legno;EcoManutenzioni;07:00-19:30;COOPERATIVA;2519.4;Hub Tecnologico Genova;Interesse per la lavorazione del legno, utilizzo di strumenti artigianali. Formazione inclusa. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Verniciatore industriale - Contratto immediato;True;193;16;[];True;Verniciatore industriale;Carpenteria Italiana;10:00-19:30;FULL_TIME;4429.42;Centro Manutenzioni Napoli;Esperienza nell’utilizzo di vernici industriali e tecniche di applicazione. Contratto immediato. Livello di istruzione richiesto: diploma tecnico.;volontario2@example.com
Personal Trainer e Istruttore Sportivo - Inizio immediato!;True;194;41;[];True;Personal Trainer / Istruttore Sportivo;IdroPower;10:00-18:30;PROGETTO;3343.81;Centro Manutenzioni Napoli;Siamo alla ricerca di un Personal Trainer motivato per fornire lezioni individuali e di gruppo.;volontario1@example.com
Operatore presso laboratorio artigianale di pelle;True;195;44;[];True;Operatore laboratorio pelle;Verniciature Rossi;08:00-19:31;PROGETTO;4423.31;Centro Manutenzioni Napoli;Esperienza nella lavorazione della pelle e utilizzo di macchinari specifici. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a a stampaggio metalli - Contratto garantito;True;196;23;[];True;Addetto/a stampaggio metalli;ArredoMobili;07:00-18:31;ALTRO;1873.5;Hub Tecnologico Genova;Esperienza nello stampaggio di metalli e conoscenza di processi industriali. Contratto garantito. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Restauratore di ceramiche antiche;True;197;61;[];True;Restauratore ceramiche;LiftTech;09:00-17:31;APPRENDISTATO;4258.79;Laboratorio Firenze;Esperienza nel restauro di ceramiche antiche, manualità e precisione. Livello di istruzione richiesto: diploma o laurea in ambito artistico.;volontario1@example.com
Operaio/a produzione alimentare - Turni mattutini;True;198;66;[];True;Operaio/a produzione alimentare;AutoFix;07:00-19:31;PART_TIME;5566.54;Sede Operativa Sud;Capacità di lavorare su turni e attenzione alla qualità della produzione. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Addetto/a back office - Contratto flessibile;True;199;86;[];True;Addetto/a back office;LiftTech;10:00-19:31;PROGETTO;2440.6;Sede Operativa Sud;Capacità organizzative e competenze base informatiche. Contratto flessibile. Livello di istruzione richiesto: diploma.;volontario2@example.com
Assistente amministrativo per ONG locale;True;200;78;[];True;Assistente amministrativo;ArredoMobili;10:00-18:31;APPRENDISTATO;5849.91;Sede Operativa Sud;Esperienza amministrativa, interesse per il settore no-profit. Livello di istruzione richiesto: diploma o laurea.;volontario1@example.com
Impiegato/a gestione risorse umane junior;True;201;15;[];True;Impiegato/a gestione HR;Carpenteria Italiana;08:00-19:32;ALTRO;4775.1;Divisione Tecnica Bologna;Conoscenza base di gestione del personale e ottime capacità relazionali. Livello di istruzione richiesto: laurea in ambito umanistico o economico.;volontario3@example.com
Responsabile amministrazione in azienda familiare;True;202;7;[];True;Responsabile amministrazione;IdroPower;07:00-18:32;APPRENDISTATO;3390.97;Stabilimento Nord;Esperienza in amministrazione aziendale, conoscenza di strumenti contabili e gestionali. Livello di istruzione richiesto: laurea.;volontario2@example.com
Consulente Nutrizionale e Specialista in Diete - Contratto immediato!;True;203;76;[];True;Consulente Nutrizionale;AutoFix;09:00-17:32;PART_TIME;5039.04;Stabilimento Nord;Stiamo cercando un/a Consulente Nutrizionale con esperienza nelle diete speciali (vegana, senza glutine) per assistere i nostri clienti nella scelta di regimi alimentari personalizzati.;volontario1@example.com
Addetto/a contabilità base - Opportunità formativa;True;204;77;[];True;Addetto/a contabilitï¿½ base;ArredoMobili;07:00-19:32;INTERNSHIP;2872.13;Filiale Centro;Conoscenza base di contabilità e software gestionali. Formazione inclusa. Livello di istruzione richiesto: diploma.;volontario3@example.com
Receptionist per studio legale - Ambiente professionale;True;205;58;[];True;Receptionist studio legale;ElettroService;10:00-19:32;APPRENDISTATO;4577.8;Headquarters Milano;Accoglienza clienti, gestione telefonate e appuntamenti. Ambiente formale e professionale. Livello di istruzione richiesto: diploma.;volontario2@example.com
Archivista per biblioteca locale;True;206;65;[];True;Archivista;ElettroService;10:00-18:32;COLLABORAZIONE;2949.75;Officina Torino;Precisione nella gestione e catalogazione dei documenti. Conoscenza di sistemi di archiviazione. Livello di istruzione richiesto: diploma.;volontario1@example.com
Coordinatore progetti comunitari - Contratto diretto;True;207;44;[];True;Coordinatore progetti;ElettroService;08:00-19:33;PART_TIME;3525.9;Filiale Centro;Capacità di gestione di progetti complessi e conoscenza delle dinamiche comunitarie. Contratto diretto. Livello di istruzione richiesto: laurea.;volontario3@example.com
Supporto amministrativo per startup innovativa;True;208;45;[];True;Supporto amministrativo;ElettroService;07:00-18:33;FULL_TIME;1509.98;Filiale Centro;Conoscenze amministrative e flessibilità nel lavoro in un ambiente dinamico. Livello di istruzione richiesto: diploma o laurea.;volontario2@example.com
Insegnante di supporto per certificazioni linguistiche;True;209;26;[];True;Insegnante di lingue;Carpenteria Italiana;09:00-17:33;PROGETTO;2951.77;Stabilimento Nord;Cerchiamo un/a insegnante di lingue specializzato/a nel supporto per esami di certificazioni linguistiche, preferibilmente con esperienza nel contesto della Scuola Secondaria di Primo Grado.;volontario1@example.com
Creazione di contenuti multilingue per aziende;True;210;43;[];True;Creatore di contenuti multilingue;LiftTech;07:00-19:33;COOPERATIVA;2593.56;Hub Tecnologico Genova;Stiamo cercando un professionista esperto nella creazione di contenuti multilingue per supportare aziende nella comunicazione globale. Il candidato ideale sarà in grado di produrre testi di alta qualità in arabo e italiano, dimostrando una profonda comprensione culturale e linguistica.;volontario3@example.com
Addetto/a alla pulizia e manutenzione tecnica;True;211;26;[];True;Addetto/a alla pulizia e supporto tecnico;LiftTech;10:00-19:33;INTERNSHIP;3942.68;Stabilimento Nord;Cerchiamo una persona affidabile e precisa per pulizie domestiche e piccoli supporti tecnici. Richiesta conoscenza base di disegno tecnico e capacità organizzativa. Preferibile conoscenza del polacco e uzbeco.;volontario2@example.com
Animatore/trice per eventi per bambini;True;212;93;[];True;Animatore/trice per bambini e revisore testi;AutoFix;10:00-18:33;APPRENDISTATO;4535.59;Officina Torino;Stiamo cercando una figura dinamica e creativa per il ruolo di Animatore/trice per eventi per bambini, con possibilità di collaborare anche alla revisione e correzione di materiali scritti.;volontario1@example.com
Tecnico Informatico Junior;True;213;45;[];True;Tecnico Informatico;ArredoMobili;08:00-19:34;APPRENDISTATO;2704.2;Laboratorio Firenze;Siamo alla ricerca di un Tecnico Informatico Junior per configurazione reti e supporto tecnico in programmazione Python.;volontario3@example.com
Esperto/a di automazione e organizzazione eventi - Contratto immediato!;True;214;92;[];True;Specialista in automazione e organizzazione;LiftTech;07:00-18:34;PART_TIME;3607.13;Filiale Centro;Cerchiamo un/a professionista esperto/a per automatizzare processi con script e coordinare eventi e matrimoni.;volontario2@example.com
Assistente domestico e per disabilità - Turni flessibili!;True;215;63;[];True;Assistente domiciliare;TecnoMetal;09:00-17:34;PROGETTO;3141.34;Officina Torino;Cerchiamo un/a assistente per organizzazione degli spazi domestici e supporto a persone con disabilità.;volontario1@example.com
Gestore/a Relazioni con i Clienti - Inizio Immediato!;True;216;78;[];True;Gestore/a Relazioni con i Clienti (CRM);GreenGarden;07:00-19:34;COOPERATIVA;2746.41;Sede Operativa Sud;Siamo alla ricerca di un Gestore/a Relazioni con i Clienti per gestire e migliorare le interazioni con i clienti, utilizzando CRM per ottimizzare l’esperienza utente.;volontario3@example.com
Designer 3D e Tutoraggio Universitario - Opportunità di crescita!;True;217;20;[];True;Designer 3D e Tutor Universitario;AutoFix;10:00-19:34;PART_TIME;2555.07;Filiale Centro;Cerchiamo un Designer 3D esperto in Blender e AutoCAD, con una passione per il tutoraggio universitario. Se sei motivato a condividere la tua esperienza e competenze nel design e nell’insegnamento, questa è l'opportunità giusta per te!;volontario2@example.com
Grafico/a Designer - Inizio immediato!;True;218;38;[];True;Grafico/a Designer;LiftTech;10:00-18:34;INTERNSHIP;3195.28;Divisione Tecnica Bologna;Cerchiamo un Grafico/a Designer con esperienza in Photoshop e Illustrator per lavorare su progetti creativi innovativi.;volontario1@example.com
Social Media Manager - Lavoro da remoto;True;219;88;[];True;Social Media Manager;Carpenteria Italiana;08:00-19:35;FULL_TIME;2585.32;Centro Manutenzioni Napoli;Cerchiamo un Social Media Manager esperto per gestire e sviluppare strategie social su diverse piattaforme.;volontario3@example.com
Addetto/a alle pulizie industriali - Inizio immediato!;True;220;42;[];True;Addetto/a alle pulizie industriali;ArredoMobili;07:00-18:35;APPRENDISTATO;3163.41;Officina Torino;Stiamo cercando un/a Addetto/a alle pulizie industriali con esperienza nella pulizia di grandi superfici come magazzini e competenze nella creazione di loghi e brand identity.;volontario2@example.com
Designer 3D e Specialista SEO - Inizio immediato!;True;221;83;[];True;Designer 3D e SEO Specialist;AutoFix;09:00-17:35;COLLABORAZIONE;5236.49;UnitÃ  Produttiva Roma;Cerchiamo un Designer 3D con esperienza in Blender e AutoCAD, e un forte interesse per la scrittura SEO.;volontario1@example.com
Meccanico/a per riparazioni veicoli - Inizio immediato!;True;222;73;[];True;Meccanico/a;ElettroService;07:00-19:35;APPRENDISTATO;2284.94;Headquarters Milano;Stiamo cercando un Meccanico/a con esperienza nella riparazione di veicoli e conoscenza della programmazione in JavaScript per lavori di diagnostica avanzata.;volontario3@example.com
Animatore/Animatrice per eventi e supporto educativo - Contratto immediato!;True;223;92;[];True;Animatore/Animatrice e Educatore/educatrice;TecnoMetal;10:00-19:35;APPRENDISTATO;5432.26;Centro Manutenzioni Napoli;Cerchiamo un/una Animatore/Animatrice per eventi e supporto educativo per lavorare con bambini in contesti ludici e educativi.;volontario2@example.com
Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!;True;224;73;[];True;Assistente Scolastico e Cuoco/a;Carpenteria Italiana;10:00-18:35;INTERNSHIP;3194.74;Stabilimento Nord;Stiamo cercando una persona per assistenza ai compiti per bambini e preparazione di pasti casalinghi.;volontario1@example.com
Artista Scultore/a - Opportunità creativa immediata!;True;225;48;[];True;Artista Scultore/a;ElettroService;08:00-19:36;ALTRO;3895.35;UnitÃ  Produttiva Roma;Stiamo cercando un/a Artista Scultore/a per creare opere d'arte uniche e innovative.;volontario3@example.com
Specialista nella Creazione di Corsi Online - Inizio Immediato!;True;226;93;[];True;Specialista nella Creazione di Corsi Online;ElettroService;07:00-18:36;PART_TIME;1702.87;Officina Torino;Cerchiamo un Specialista nella Creazione di Corsi Online per sviluppare contenuti didattici digitali di alta qualità.;volontario2@example.com
Addetto/a al lavaggio e trattamenti benessere - Contratto immediato!;True;227;44;[];True;Addetto/a al lavaggio e benessere;GreenGarden;09:00-17:36;FULL_TIME;1621.16;UnitÃ  Produttiva Roma;Siamo alla ricerca di un Addetto/a al lavaggio e trattamenti benessere per un'importante attività di cura e manutenzione di indumenti e trattamenti benessere.;volontario1@example.com
Traduttore/traduttrice esperto/a - Inizio immediato!;True;228;77;[];True;Traduttore/traduttrice;LiftTech;07:00-19:36;INTERNSHIP;4779.59;Stabilimento Nord;Cerchiamo un/a Traduttore/traduttrice con esperienza nella traduzione di documenti in lingue straniere, con particolare focus su portoghese, tamil e armeno;volontario3@example.com
Magazziniere con esperienza - Turni flessibili;True;229;28;[];True;Magazziniere;IdroPower;10:00-19:36;COOPERATIVA;2645.51;Sede Operativa Sud;Richiesta esperienza nella gestione del magazzino, uso del muletto e capacità di lavorare in team. Disponibilità a turni flessibili.;volontario2@example.com
Addetto/a alle pulizie - Orari mattutini;True;230;9;[];True;Addetto alle pulizie;IdroPower;10:00-18:36;PROGETTO;2404.83;Headquarters Milano;Precisione, affidabilità e capacità di lavorare in autonomia. Preferibile esperienza nel settore delle pulizie industriali o civili.;volontario1@example.com
Cameriere/a per ristorante tipico - Lavoro stabile;True;231;54;[];True;Cameriere/a;ArredoMobili;08:00-19:37;APPRENDISTATO;2023.9;UnitÃ  Produttiva Roma;Richiesta esperienza pregressa, ottime doti relazionali e capacità di lavorare sotto pressione. Conoscenza base dei vini gradita.;volontario3@example.com
Cassiere/a per supermercato - Part-time disponibile;True;232;73;[];True;Cassiere/a;AutoFix;07:00-18:37;PROGETTO;2225.79;Officina Torino;Richiesta esperienza alla cassa, velocità e precisione nei pagamenti. Capacità di gestire file e interagire con i clienti.;volontario2@example.com
Operatore/trice call center - Anche senza esperienza;True;233;93;[];True;Operatore call center;ElettroService;09:00-17:37;COOPERATIVA;3147.6;Sede Operativa Sud;Ottime doti comunicative e capacità di problem solving. Non è richiesta esperienza pregressa, formazione interna inclusa.;volontario1@example.com
Fattorino per consegne rapide - Moto aziendale;True;234;3;[];True;Fattorino;GreenGarden;07:00-19:37;APPRENDISTATO;3797.23;UnitÃ  Produttiva Roma;Patente A o B richiesta, capacità di lavorare in autonomia e orientamento al cliente. Moto aziendale fornita per le consegne.;volontario3@example.com
Commesso/a per negozio di abbigliamento - Tempo pieno;True;235;3;[];True;Commesso/a;Verniciature Rossi;10:00-19:37;APPRENDISTATO;3178.89;Headquarters Milano;Esperienza nel settore retail preferibile, ottime capacità di vendita e predisposizione al contatto con il pubblico.;volontario2@example.com
Giardiniere con esperienza - Contratto a tempo indeterminato;True;236;28;[];True;Giardiniere;ArredoMobili;10:00-18:37;ALTRO;2688.57;Hub Tecnologico Genova;Esperienza nella manutenzione del verde, uso di attrezzature specifiche e capacità di lavorare all’aperto in diverse condizioni climatiche.;volontario1@example.com
Autista NCC - Disponibilità immediata;True;237;72;[];True;Autista NCC;EcoManutenzioni;08:00-19:38;APPRENDISTATO;5670.64;Hub Tecnologico Genova;Patente B, esperienza nel settore e conoscenza delle norme di sicurezza stradale. Disponibilità a trasferte e turni notturni.;volontario3@example.com
Operatore ecologico - Lavoro sicuro e stabile;True;238;85;[];True;Operatore ecologico;GreenGarden;07:00-18:38;ALTRO;2604.51;UnitÃ  Produttiva Roma;Affidabilità, resistenza fisica e disponibilità a lavorare all’aperto in qualsiasi condizione atmosferica. Patente C gradita.;volontario2@example.com
Manovale edile - Opportunità di crescita;True;239;70;[];True;Manovale edile;EcoManutenzioni;09:00-17:38;INTERNSHIP;1616.44;Sede Operativa Sud;Richiesta manualità, resistenza fisica e capacità di lavorare in squadra. Formazione interna disponibile.;volontario1@example.com
Muratore con esperienza - Contratto full-time;True;240;66;[];True;Muratore;ElettroService;07:00-19:38;PART_TIME;5854.38;UnitÃ  Produttiva Roma;Esperienza nel settore edile, conoscenza dei materiali da costruzione e capacità di eseguire lavori in muratura con precisione.;volontario3@example.com
Elettricista certificato - Lavoro su cantieri;True;241;23;[];True;Elettricista;LiftTech;10:00-19:38;INTERNSHIP;5904.06;Sede Operativa Sud;Richiesta esperienza nell’impiantistica civile e industriale, lettura schemi elettrici e possesso di certificazioni adeguate.;volontario2@example.com
Idraulico esperto - Assunzione immediata;True;242;20;[];True;Idraulico;ElettroService;10:00-18:38;FULL_TIME;5222.53;UnitÃ  Produttiva Roma;Esperienza pregressa, capacità di installazione e riparazione impianti idraulici. Patente B necessaria.;volontario1@example.com
Estetista qualificata - Contratto a tempo indeterminato;True;243;45;[];True;Estetista;Carpenteria Italiana;08:00-19:39;APPRENDISTATO;4119.41;Divisione Tecnica Bologna;Richiesta qualifica professionale, esperienza in trattamenti estetici e predisposizione al contatto con il pubblico.;volontario3@example.com
Parrucchiere/a - Ambiente giovane e dinamico;True;244;72;[];True;Parrucchiere/a;Verniciature Rossi;07:00-18:39;PART_TIME;5865.71;Headquarters Milano;Esperienza nel taglio e colore, capacità di lavorare in team e aggiornamento sulle ultime tendenze di hairstyling.;volontario2@example.com
Barista per caffetteria storica - Turni flessibili;True;245;95;[];True;Barista;GreenGarden;09:00-17:39;APPRENDISTATO;5959.38;Headquarters Milano;Esperienza nella preparazione di caffè e cocktail base, rapidità e capacità di gestire momenti di affluenza.;volontario1@example.com
Baby-sitter part-time - Preferibile esperienza;True;246;12;[];True;Baby-sitter;EcoManutenzioni;07:00-19:39;FULL_TIME;5211.56;Stabilimento Nord;Affidabilità, dolcezza e predisposizione al contatto con i bambini. Preferibile esperienza pregressa o studi in ambito educativo.;volontario3@example.com
Dog sitter - Amore per gli animali richiesto!;True;247;45;[];True;Dog sitter;Verniciature Rossi;10:00-19:39;ALTRO;2215.47;Officina Torino;Passione per gli animali, responsabilità e disponibilità a passeggiate anche serali. Non è richiesta esperienza pregressa.;volontario2@example.com
Addetto/a alla sicurezza - Lavoro notturno;True;248;32;[];True;Addetto alla sicurezza;ElettroService;10:00-18:39;COLLABORAZIONE;4490.83;Divisione Tecnica Bologna;Serietà, affidabilità e capacità di gestione delle emergenze. Gradito possesso del certificato di addetto alla sicurezza.;volontario1@example.com
Addetto/a al confezionamento - Produzione alimentare;True;249;68;[];True;Addetto al confezionamento;ElettroService;08:00-19:40;COOPERATIVA;3890.66;Officina Torino;Precisione, attenzione ai dettagli e capacità di lavorare in catena di montaggio. Non è richiesta esperienza pregressa.;volontario3@example.com
Facchino per hotel di lusso - Lavoro stabile;True;250;30;[];True;Facchino;LiftTech;07:00-18:40;INTERNSHIP;5232.48;Hub Tecnologico Genova;Buona presenza, discrezione e capacità di trasporto bagagli pesanti. Preferibile esperienza in strutture alberghiere.;volontario2@example.com
Operatore di produzione - Turni su tre fasce;True;251;35;[];True;Operatore di produzione;AutoFix;09:00-17:40;INTERNSHIP;3589.2;Stabilimento Nord;Manualità, precisione e capacità di lavorare su turni. Formazione interna inclusa.;volontario1@example.com
Operatore di lavanderia - Contratto full-time;True;1;14;[];True;Operatore di lavanderia;ElettroService;07:00-19:40;PROGETTO;3852.98;Officina Torino;Capacità di utilizzo di macchine industriali, attenzione ai dettagli e resistenza fisica. Non è richiesta esperienza.;volontario3@example.com
Assistente agli anziani - Empatia e professionalità;True;2;40;[];True;Assistente agli anziani;Old wag;10:00-19:40;PROGETTO;5232.48;Casa di riposo;Esperienza in assistenza domiciliare o strutture sanitarie. Empatia e disponibilità a turni notturni.;volontario2@example.com
